집계 일시,NODE_ID,ACSR_ID,LANE_NO,TRF_QNTY,AVG_SPD,OCPN_RATE,LOS,VC,KLOS,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0004,ACSR000004,3,17,38.64,4.07,8.12,79.07,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0005,ACSR000001,2,60,67.49,38.54,6.22,103,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0005,ACSR000002,1,14,44.83,0,10,100,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0005,ACSR000003,1,40,55.94,15.92,10.24,61.54,999.9,,,,,,,,,,,,,,,
오전 8:10:00,SH009N0005,ACSR000004,0,10,75.15,1.7,13.99,41.52,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0001,ACSR000001,4,98,94.16,0,0,74.52,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0001,ACSR000002,0,7,80.97,0,0,40.98,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0001,ACSR000003,3,26,124.67,0,0,17.46,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0002,ACSR000001,7,89,85.19,88.53,15.02,73.3,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0002,ACSR000002,12,67,71.86,0,0,81.38,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0002,ACSR000003,6,14,90.17,0,0,10.31,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0002,ACSR000004,2,68,75.3,0,0,98.55,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0003,ACSR000001,1,61,56.07,0,0,55.12,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0003,ACSR000002,6,13,34.56,0,0,41.05,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0003,ACSR000003,2,47,81.53,0,0,104.83,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0003,ACSR000004,6,53,49.65,0,0,34.85,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0004,ACSR000001,2,63,89.13,32.66,12.89,72.55,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0004,ACSR000002,3,9,62.8,0,13.33,60,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0004,ACSR000003,2,28,84.86,6.39,9.62,27.7,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0004,ACSR000004,1,21,44.83,7.91,7.85,97.67,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0005,ACSR000001,1,41,74.39,28.08,5.45,70.39,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0005,ACSR000002,2,14,45.84,0,19.12,100,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0005,ACSR000003,2,30,51.58,11.03,5.85,46.15,999.9,,,,,,,,,,,,,,,
오전 8:15:00,SH009N0005,ACSR000004,2,15,67.41,19.98,7.45,62.28,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0001,ACSR000001,2,103,112.24,0,0,78.33,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0001,ACSR000002,2,5,237.33,0,0,29.27,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0001,ACSR000003,3,35,139.69,0,0,23.5,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0002,ACSR000001,11,103,91.31,190.55,13.7,84.83,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0002,ACSR000002,18,49,63.81,0,0,59.51,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0002,ACSR000003,16,33,132.03,0,0,24.29,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0002,ACSR000004,23,73,84.36,0,0,105.8,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0003,ACSR000001,0,58,58.84,0,0,52.41,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0003,ACSR000002,2,17,40.79,0,0,53.68,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0003,ACSR000003,3,48,73.58,0,0,107.06,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0003,ACSR000004,1,48,48.82,0,0,31.56,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0004,ACSR000001,3,74,91.06,113.76,13.94,85.22,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0004,ACSR000002,3,7,55.25,0,32.64,46.67,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0004,ACSR000003,1,40,86.28,38.63,13.7,39.57,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0004,ACSR000004,4,14,39.37,3.55,9.03,65.12,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0005,ACSR000001,3,56,62.6,51.33,8.4,96.14,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0005,ACSR000002,1,4,37.34,0,9.79,28.57,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0005,ACSR000003,1,37,55.27,30.66,10.36,56.92,999.9,,,,,,,,,,,,,,,
오전 8:20:00,SH009N0005,ACSR000004,2,17,64.31,15.42,13.17,70.59,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0001,ACSR000001,8,128,112.99,0,0,97.34,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0001,ACSR000002,1,4,102.85,0,0,23.41,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0001,ACSR000003,2,36,136.05,0,0,24.17,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0002,ACSR000001,1,117,84.82,234.62,10.74,96.36,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0002,ACSR000002,7,45,64.88,0,0,54.66,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0002,ACSR000003,0,33,78.01,0,0,24.29,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0002,ACSR000004,9,47,70.14,0,0,68.12,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0003,ACSR000001,3,30,44.4,0,0,27.11,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0003,ACSR000002,0,18,32.84,0,0,56.84,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0003,ACSR000003,5,23,60.38,0,0,51.3,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0003,ACSR000004,7,57,47.31,0,0,37.48,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0004,ACSR000001,2,108,99.97,63.24,5.7,124.38,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0004,ACSR000002,5,6,62.86,0,9.63,40,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0004,ACSR000003,6,22,112.38,4.59,12.59,21.76,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0004,ACSR000004,1,21,43.81,21.68,13.87,97.67,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0005,ACSR000001,3,51,59.81,47.71,8.33,87.55,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0005,ACSR000002,2,12,46.21,2.93,8.82,85.71,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0005,ACSR000003,0,47,58.67,35.37,9.41,72.31,999.9,,,,,,,,,,,,,,,
오전 8:25:00,SH009N0005,ACSR000004,1,20,66.23,28.87,7.66,83.05,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0001,ACSR000001,3,93,86.29,0,0,70.72,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0001,ACSR000002,2,2,81.37,0,0,11.71,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0001,ACSR000003,8,18,110.09,0,0.22,12.09,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0002,ACSR000001,8,79,71.6,137.77,17.37,65.07,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0002,ACSR000002,13,59,71.09,0,0,71.66,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0002,ACSR000003,7,20,46.86,0,0,14.72,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0002,ACSR000004,14,101,79.6,0,0,146.38,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0003,ACSR000001,5,54,56.27,0,0,48.8,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0003,ACSR000002,10,13,36.92,0,0,41.05,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0003,ACSR000003,2,73,60.47,0,0,162.83,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0003,ACSR000004,14,48,71.15,0,0,31.56,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0004,ACSR000001,2,59,81.7,31.15,11.97,67.95,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0004,ACSR000002,4,9,55.75,0,12.18,60,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0004,ACSR000003,4,27,77.69,9.38,25.49,26.71,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0004,ACSR000004,0,11,41.31,0,13.52,51.16,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0005,ACSR000001,2,50,63.44,45.62,6.44,85.84,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0005,ACSR000002,3,10,44.44,0,16.47,71.43,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0005,ACSR000003,1,29,68.94,15.52,8.45,44.62,999.9,,,,,,,,,,,,,,,
오전 8:30:00,SH009N0005,ACSR000004,4,20,68.31,17.14,9.22,83.05,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0001,ACSR000001,7,110,116.78,0,0,83.65,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0001,ACSR000002,1,8,347.31,0,0,46.83,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0001,ACSR000003,23,40,128.87,0,0,26.86,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0002,ACSR000001,12,115,90.29,302.74,15.86,94.72,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0002,ACSR000002,18,56,66.22,0,0,68.02,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0002,ACSR000003,11,40,130.49,0,0,29.45,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0002,ACSR000004,14,81,78.56,0,0,117.39,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0003,ACSR000001,19,69,56.33,0,0,62.35,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0003,ACSR000002,8,16,33.29,0,0,50.53,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0003,ACSR000003,18,60,55.65,0,0,133.83,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0003,ACSR000004,16,31,49.3,0,0,20.38,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0004,ACSR000001,4,84,95.68,98.92,12.16,96.74,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0004,ACSR000002,12,9,54.31,0,27.11,60,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0004,ACSR000003,2,35,95.5,14.2,7.31,34.62,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0004,ACSR000004,1,30,32.41,20.5,16.65,139.53,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0005,ACSR000001,2,46,64.93,61.16,8.84,78.97,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0005,ACSR000002,6,14,46.16,0,8.4,100,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0005,ACSR000003,3,38,49.57,17.09,11.73,58.46,999.9,,,,,,,,,,,,,,,
오전 8:35:00,SH009N0005,ACSR000004,4,14,71.37,7.91,5.72,58.13,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0001,ACSR000001,9,110,116.36,0,0,83.65,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0001,ACSR000002,2,2,83.64,0,0,11.71,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0001,ACSR000003,10,31,122.9,0,0,20.82,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0002,ACSR000001,6,112,94.19,130.33,8.41,92.24,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0002,ACSR000002,14,44,65.86,0,0,53.44,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0002,ACSR000003,7,33,63.85,0,0,24.29,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0002,ACSR000004,12,42,76.17,0,0,60.87,999.9,,,,,,,,,,,,,,,
오전 8:40:00,SH009N0003,ACSR000001,14,40,35.64,0,0,36.14,999.9,,,,,,,,,,,,,,,
