TOT_DT,LINK_ID,LANE_NO,TRF_QNTY,AVG_SPD,OCPN_RATE
2024-12-12 23:35:00,2240012900,1,44.0,103.3,2.688
2024-12-12 23:40:00,2240012900,1,27.0,106.6,1.544
2024-12-12 23:45:00,2240012900,1,29.0,99.0,1.836
2024-12-12 23:50:00,2240012900,1,20.0,103.88,1.495
2024-12-12 23:55:00,2240012900,1,18.0,107.62,1.2275
2024-12-12 23:30:00,2240012900,2,26.0,83.62,2.3875
2024-12-12 23:35:00,2240012900,2,26.0,83.3,1.986
2024-12-12 23:40:00,2240012900,2,34.0,83.9,2.52
2024-12-12 23:45:00,2240012900,2,29.0,86.6,2.18
2024-12-12 23:50:00,2240012900,2,22.0,83.12,1.9975
2024-12-12 23:55:00,2240012900,2,16.0,87.12,1.4475
2024-12-12 23:30:00,2240012900,3,1.0,89.5,0.465
2024-12-12 23:35:00,2240012900,3,0.0,0.0,0.0
2024-12-12 23:40:00,2240012900,3,0.0,0.0,0.0
2024-12-12 23:45:00,2240012900,3,0.0,0.0,0.0
2024-12-12 23:50:00,2240012900,3,0.0,0.0,0.0
2024-12-12 23:55:00,2240012900,3,0.0,0.0,0.0
2024-12-12 23:30:00,2240012900,4,0.0,0.0,0.0
2024-12-12 23:35:00,2240012900,4,0.0,0.0,0.0
2024-12-12 23:40:00,2240012900,4,0.0,0.0,0.0
2024-12-12 23:45:00,2240012900,4,0.0,0.0,0.0
2024-12-12 23:50:00,2240012900,4,0.0,0.0,0.0
2024-12-12 23:55:00,2240012900,4,0.0,0.0,0.0
2024-12-12 23:30:00,2240013000,1,4.0,105.75,0.2575
2024-12-12 23:35:00,2240013000,1,13.0,117.7,0.634
2024-12-12 23:40:00,2240013000,1,11.0,109.1,0.568
2024-12-12 23:45:00,2240013000,1,9.0,106.6,0.486
2024-12-12 23:50:00,2240013000,1,9.0,105.25,0.625
2024-12-12 23:55:00,2240013000,1,7.0,106.62,0.445
2024-12-12 23:30:00,2240013000,2,14.0,102.88,0.99
2024-12-12 23:35:00,2240013000,2,18.0,110.0,1.004
2024-12-12 23:40:00,2240013000,2,18.0,98.6,1.118
2024-12-12 23:45:00,2240013000,2,18.0,98.4,1.076
2024-12-12 23:50:00,2240013000,2,14.0,108.88,0.985
2024-12-12 23:55:00,2240013000,2,16.0,104.5,1.14
2024-12-12 23:30:00,2240013000,3,15.0,92.5,1.23
2024-12-12 23:35:00,2240013000,3,14.0,91.3,0.948
2024-12-12 23:40:00,2240013000,3,14.0,98.4,0.86
2024-12-12 23:45:00,2240013000,3,22.0,104.3,1.294
2024-12-12 23:50:00,2240013000,3,12.0,92.12,0.9825
2024-12-12 23:55:00,2240013000,3,11.0,101.88,0.76
2024-12-12 23:30:00,2240013000,4,5.0,92.38,0.4575
2024-12-12 23:35:00,2240013000,4,8.0,92.7,0.554
2024-12-12 23:40:00,2240013000,4,5.0,98.4,0.332
2024-12-12 23:45:00,2240013000,4,6.0,101.8,0.35
2024-12-12 23:50:00,2240013000,4,2.0,95.62,0.1825
2024-12-12 23:55:00,2240013000,4,5.0,102.62,0.3525
2024-12-12 23:30:00,2240014101,1,33.0,92.38,2.6475
2024-12-12 23:35:00,2240014101,1,46.0,90.5,3.018
2024-12-12 23:40:00,2240014101,1,37.0,93.7,2.392
2024-12-12 23:45:00,2240014101,1,38.0,92.1,2.448
2024-12-12 23:50:00,2240014101,1,24.0,93.88,1.895
2024-12-12 23:55:00,2240014101,1,35.0,93.5,2.78
2024-12-12 23:30:00,2240014101,2,43.0,87.62,3.7025
2024-12-12 23:35:00,2240014101,2,50.0,86.2,3.526
2024-12-12 23:40:00,2240014101,2,33.0,81.1,2.494
2024-12-12 23:45:00,2240014101,2,54.0,84.6,3.784
2024-12-12 23:50:00,2240014101,2,45.0,82.0,4.1225
2024-12-12 23:55:00,2240014101,2,29.0,83.88,2.6825
2024-12-12 23:30:00,2240014101,3,23.0,71.38,2.39
2024-12-12 23:35:00,2240014101,3,28.0,72.8,2.452
2024-12-12 23:40:00,2240014101,3,30.0,80.3,2.534
2024-12-12 23:45:00,2240014101,3,21.0,82.9,1.912
2024-12-12 23:50:00,2240014101,3,15.0,89.88,1.3525
2024-12-12 23:55:00,2240014101,3,15.0,85.75,1.485
2024-12-12 23:30:00,2240014101,4,5.0,80.62,0.6075
2024-12-12 23:35:00,2240014101,4,9.0,81.2,1.022
2024-12-12 23:40:00,2240014101,4,2.0,94.0,0.174
2024-12-12 23:45:00,2240014101,4,3.0,88.3,0.294
2024-12-12 23:50:00,2240014101,4,1.0,95.25,0.12
2024-12-12 23:55:00,2240014101,4,3.0,90.25,0.37
2024-12-12 23:30:00,2240014201,1,9.0,109.0,0.6125
2024-12-12 23:35:00,2240014201,1,13.0,112.2,0.648
2024-12-12 23:40:00,2240014201,1,16.0,113.3,0.854
2024-12-12 23:45:00,2240014201,1,9.0,106.2,0.492
2024-12-12 23:50:00,2240014201,1,10.0,106.25,0.7
