TOT_DT,LINK_ID,LANE_NO,LANE_ANOMALY_THR,LANE_REC_ERROR,LANE_DET_RES,LINK_DET_RES
2024-12-12 23:55:00,2240007900,1,0.046812322,0.00015741718,0,0
2024-12-12 23:55:00,2240007900,2,0.02580419,0.000110833666,0,0
2024-12-12 23:55:00,2240007900,3,0.023647057,0.00012888403,0,0
2024-12-12 23:55:00,2240007900,4,0.015798975,0.00011085985,0,0
2024-12-12 23:55:00,2240007900,5,0.020759381,7.9826386e-05,0,0
2024-12-12 23:55:00,2240009900,1,0.015037814,9.709387e-05,0,0
2024-12-12 23:55:00,2240009900,2,0.0495941,0.00030662733,0,0
2024-12-12 23:55:00,2240009900,3,0.040853105,0.019617062,0,0
2024-12-12 23:55:00,2240009900,4,0.30412102,0.014792134,0,0
2024-12-12 23:55:00,2240010000,1,0.08657173,0.00022398423,0,0
2024-12-12 23:55:00,2240010000,2,0.14326426,0.0002864768,0,0
2024-12-12 23:55:00,2240010000,3,0.144119,0.0002937557,0,0
2024-12-12 23:55:00,2240010000,4,0.06884248,0.00010030546,0,0
2024-12-12 23:55:00,2240010000,5,0.020767147,7.9817255e-05,0,0
2024-12-12 23:55:00,2240012900,1,0.015037814,9.709387e-05,0,0
2024-12-12 23:55:00,2240012900,2,0.0495941,0.00030662733,0,0
2024-12-12 23:55:00,2240012900,3,0.040853105,0.019617062,0,0
2024-12-12 23:55:00,2240012900,4,0.30412102,0.014792134,0,0
2024-12-12 23:55:00,2240013000,1,0.036417875,0.00025401544,0,0
2024-12-12 23:55:00,2240013000,2,0.09070865,0.00042358396,0,0
2024-12-12 23:55:00,2240013000,3,0.08312647,0.0003878942,0,0
2024-12-12 23:55:00,2240013000,4,0.020865122,0.00011465028,0,0
2024-12-12 23:55:00,2240014101,1,0.070393726,9.677881e-05,0,0
2024-12-12 23:55:00,2240014101,2,0.020827401,6.067167e-05,0,0
2024-12-12 23:55:00,2240014101,3,0.017464157,0.00019773454,0,0
2024-12-12 23:55:00,2240014101,4,0.012859952,0.00040331323,0,0
2024-12-12 23:55:00,2240014201,1,0.015509132,0.00016858261,0,0
2024-12-12 23:55:00,2240014201,2,0.025771149,0.00013587179,0,0
2024-12-12 23:55:00,2240014201,3,0.024847127,0.00022485787,0,0
2024-12-12 23:55:00,2240014201,4,0.021169838,0.00013131172,0,0
2024-12-12 23:55:00,2240157100,1,0.019466918,0.00015620206,0,0
2024-12-12 23:55:00,2240157100,2,0.019912325,0.00011305851,0,0
2024-12-12 23:55:00,2240157100,3,0.15592973,0.0019077263,0,0
2024-12-12 23:55:00,2240157300,1,0.0066605457,0.00016028062,0,0
2024-12-12 23:55:00,2240157300,2,0.007242786,0.00013249867,0,0
2024-12-12 23:55:00,2240157300,3,0.13214651,0.00013647293,0,0
2024-12-12 23:55:00,2240157400,1,0.0076802755,0.00015903813,0,0
2024-12-12 23:55:00,2240157400,2,0.011596502,0.00017197091,0,0
2024-12-12 23:55:00,2240157400,3,0.013803399,0.0001062257,0,0
2024-12-12 23:55:00,2240157900,1,0.62176883,0.00024398245,0,0
2024-12-12 23:55:00,2240157900,2,1.12748,0.00021564284,0,0
2024-12-12 23:55:00,2240157900,3,0.77448595,0.000108648645,0,0
2024-12-12 23:55:00,2240160800,1,0.024462111,8.7479166e-05,0,0
2024-12-12 23:55:00,2240160800,2,0.052906413,0.000271389,0,0
2024-12-12 23:55:00,2240160800,3,0.030563813,0.00012283353,0,0
2024-12-12 23:55:00,2240160900,1,0.018515987,0.00028110435,0,0
2024-12-12 23:55:00,2240160900,2,0.02019121,0.00017085052,0,0
2024-12-12 23:55:00,2240160900,3,0.009338151,0.00011275612,0,0
