TOT_DT,LINK_ID,LANE_NO,LANE_ANOMALY_THR,LANE_REC_ERROR,LANE_DET_RES,LINK_DET_RES
2024-12-12 23:55:00,2240007900,1,0.06865576,0.0013233791,0,0
2024-12-12 23:55:00,2240007900,2,0.050901156,0.0011323132,0,0
2024-12-12 23:55:00,2240007900,3,0.04310377,0.0010187379,0,0
2024-12-12 23:55:00,2240007900,4,0.03997088,0.00091854803,0,0
2024-12-12 23:55:00,2240007900,5,0.04229542,0.001243271,0,0
2024-12-12 23:55:00,2240009900,1,0.032100238,0.0014284805,0,0
2024-12-12 23:55:00,2240009900,2,0.078541785,0.0012303792,0,0
2024-12-12 23:55:00,2240009900,3,0.13556185,0.0223173,0,0
2024-12-12 23:55:00,2240009900,4,0.38067034,0.007675586,0,0
2024-12-12 23:55:00,2240010000,1,0.34736696,0.0018366881,0,0
2024-12-12 23:55:00,2240010000,2,0.3357706,0.0015970244,0,0
2024-12-12 23:55:00,2240010000,3,0.3764212,0.0017158138,0,0
2024-12-12 23:55:00,2240010000,4,0.14849088,0.0010198189,0,0
2024-12-12 23:55:00,2240010000,5,0.042307813,0.0012432373,0,0
2024-12-12 23:55:00,2240012900,1,0.032100238,0.0014284805,0,0
2024-12-12 23:55:00,2240012900,2,0.078541785,0.0012303792,0,0
2024-12-12 23:55:00,2240012900,3,0.13556185,0.0223173,0,0
2024-12-12 23:55:00,2240012900,4,0.38067034,0.007675586,0,0
2024-12-12 23:55:00,2240013000,1,0.0821842,0.0017538451,0,0
2024-12-12 23:55:00,2240013000,2,0.16955844,0.0018674202,0,0
2024-12-12 23:55:00,2240013000,3,0.18978247,0.002027214,0,0
2024-12-12 23:55:00,2240013000,4,0.051741395,0.0011942801,0,0
2024-12-12 23:55:00,2240014101,1,0.059573635,0.0010556346,0,0
2024-12-12 23:55:00,2240014101,2,0.0573865,0.0012459664,0,0
2024-12-12 23:55:00,2240014101,3,0.03587445,0.0015691696,0,0
2024-12-12 23:55:00,2240014101,4,0.023956276,0.0013064109,0,0
2024-12-12 23:55:00,2240014201,1,0.030404614,0.0016053619,0,0
2024-12-12 23:55:00,2240014201,2,0.0485234,0.0013465014,0,0
2024-12-12 23:55:00,2240014201,3,0.03977445,0.0014203817,0,0
2024-12-12 23:55:00,2240014201,4,0.061414268,0.0011365949,0,0
2024-12-12 23:55:00,2240157100,1,0.035335153,0.0012892287,0,0
2024-12-12 23:55:00,2240157100,2,0.02977054,0.0011277499,0,0
2024-12-12 23:55:00,2240157100,3,0.12660639,0.014113143,0,0
2024-12-12 23:55:00,2240157300,1,0.014357539,0.0012017499,0,0
2024-12-12 23:55:00,2240157300,2,0.02273589,0.0013908297,0,0
2024-12-12 23:55:00,2240157300,3,0.113993965,0.0015220452,0,0
2024-12-12 23:55:00,2240157400,1,0.025021613,0.001092708,0,0
2024-12-12 23:55:00,2240157400,2,0.027105542,0.001677081,0,0
2024-12-12 23:55:00,2240157400,3,0.03609988,0.001595478,0,0
2024-12-12 23:55:00,2240157900,1,1.1355573,0.0014292309,0,0
2024-12-12 23:55:00,2240157900,2,1.8854192,0.0017541838,0,0
2024-12-12 23:55:00,2240157900,3,1.3645089,0.001284996,0,0
2024-12-12 23:55:00,2240160800,1,0.09452906,0.0010448535,0,0
2024-12-12 23:55:00,2240160800,2,0.117676705,0.0012444013,0,0
2024-12-12 23:55:00,2240160800,3,0.060456183,0.0011161997,0,0
2024-12-12 23:55:00,2240160900,1,0.042692356,0.0018005586,0,0
2024-12-12 23:55:00,2240160900,2,0.047783628,0.001551733,0,0
2024-12-12 23:55:00,2240160900,3,0.022352332,0.0012919646,0,0
