LINK_ID,lane,threshold
35.0,1,0.0004943245
35.0,2,0.21584003
35.0,3,0.0007298647
35.0,4,0.019133806
36.0,1,0.0005714794
36.0,2,0.0005714794
36.0,3,0.0005714794
36.0,4,0.0005714794
36.0,5,0.0005714794
37.0,1,0.00068101357
37.0,2,0.0006233628
37.0,3,0.00075878657
38.0,1,0.0006943753
38.0,2,0.00064975856
38.0,3,0.0008250524
38.0,4,0.00061857695
39.0,1,0.0010014884
39.0,2,0.00093807
39.0,3,0.0016512367
39.0,4,0.0009851968
40.0,1,0.0008160491
40.0,2,0.00083602744
40.0,3,0.0006025503
40.0,4,0.00090978114
41.0,1,0.00061697257
41.0,2,0.0007210962
41.0,3,0.0007591615
41.0,4,0.0009164817
41.0,5,0.00064707536
42.0,1,0.00073748635
42.0,2,0.0006169502
42.0,3,0.00054643047
42.0,4,0.0005444642
42.0,5,0.00075793616
43.0,1,0.0005788393
43.0,2,0.00060670247
44.0,1,0.00073775795
44.0,2,0.0010003059
45.0,1,0.00085139513
45.0,2,13.509985
45.0,3,0.0014610273
45.0,4,0.00981834
46.0,1,0.00085821986
46.0,2,0.00078695285
46.0,3,0.00078695285
46.0,4,0.0005395042
47.0,1,0.0007057516
47.0,2,0.10650584
48.0,1,0.0006414573
48.0,2,0.0006038332
49.0,1,0.00085448025
49.0,2,0.0007585605
50.0,1,0.0015496338
50.0,2,0.00064016966
51.0,1,0.000977008
51.0,2,0.00088974915
51.0,3,0.00086762727
51.0,4,0.0008283976
51.0,5,0.00080398866
51.0,6,0.0007446143
51.0,7,0.0007013701
52.0,1,0.0062939837
52.0,2,0.0021156268
52.0,3,0.002321146
52.0,4,0.002502942
52.0,5,0.002018348
52.0,6,0.0028157504
52.0,7,0.0020516047
52.0,8,0.0020463928
52.0,9,0.0019201116
53.0,1,0.0010432943
53.0,2,0.00089900504
53.0,3,0.08545289
53.0,4,0.027931469
54.0,1,0.00081528444
54.0,2,0.0006169848
54.0,3,0.0005839963
55.0,1,0.0004617801
55.0,2,0.00042411973
55.0,3,0.00045582344
55.0,4,0.0003784004
56.0,1,0.00090570975
56.0,2,0.000526784
56.0,3,0.0007839678
56.0,4,0.0010325323
57.0,1,0.00044483398
57.0,2,0.00042048524
57.0,3,0.00047457905
57.0,4,0.00042138944
57.0,5,0.00038486507
57.0,6,0.00033121
57.0,7,0.0003724952
57.0,8,0.00037141526
57.0,9,0.00043032895
58.0,1,0.0005830681
58.0,2,0.0004799361
59.0,1,0.0007034326
59.0,2,0.00048513227
59.0,3,0.00065021537
60.0,1,0.0009189439
60.0,2,0.0005797994
60.0,3,0.0018018965
60.0,4,0.00064671715
61.0,1,0.0005264341
61.0,2,0.00030538221
61.0,3,0.00029573648
61.0,4,0.00033008144
62.0,1,0.001294899
62.0,2,0.0007906837
63.0,1,0.00075543317
63.0,2,0.0007925296
64.0,1,0.00083412754
64.0,2,0.00076490524
65.0,1,0.0005749669
65.0,2,0.0005525299
66.0,1,0.00071557105
66.0,2,0.0005673225
66.0,3,0.0013055521
66.0,4,0.00059723813
67.0,1,0.006605268
67.0,2,0.0018608149
67.0,3,0.0007369354
67.0,4,0.0006916748
68.0,1,0.0006685354
68.0,2,0.0011608198
69.0,1,0.0016957982
69.0,2,0.0009348869
70.0,1,0.00046205978
71.0,1,0.00063914707
71.0,2,0.00065594324
72.0,1,0.00074373913
72.0,2,0.0006633725
72.0,3,0.0005967821
72.0,4,0.0061852606
73.0,1,0.0013724244
73.0,2,0.00082491664
73.0,3,0.00073285605
73.0,4,0.0011227578
74.0,1,0.0011733398
74.0,2,0.00061769754
74.0,3,0.00074512046
74.0,4,0.03272614
75.0,1,0.0013398125
75.0,2,0.0005637562
75.0,3,0.00056982966
76.0,1,0.00060587423
76.0,2,0.00050850207
76.0,3,0.00048953027
76.0,4,0.00058670534
77.0,1,0.0010449499
77.0,2,0.0013363421
77.0,3,0.10904868
78.0,1,0.0007436651
78.0,2,0.0010980048
78.0,3,0.0005744596
78.0,4,0.0005707113
79.0,1,0.00097653747
79.0,2,0.0008882485
79.0,3,0.0007417579
80.0,1,0.0010174878
80.0,2,0.0005914621
80.0,3,0.00077443034
80.0,4,0.000829931
80.0,5,0.00054104504
81.0,1,0.00062702136
81.0,2,0.00070302875
81.0,3,0.00074454583
81.0,4,0.0005189567
82.0,1,0.0008068442
82.0,2,0.00094563444
83.0,1,0.0006628228
83.0,2,0.0008760152
83.0,3,0.000609628
