TOT_DT,LINK_ID,LANE_NO,Thresholds,recon_error,anomaly,link_anomaly
2025-09-20 14:39:00,SH001N0002_ACSR000004,2,0.0016835079,0.0001220975,0,0
2025-09-20 14:39:00,SH001N0002_ACSR000004,3,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0002_ACSR000004,4,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0002_ACSR000004,5,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0002_ACSR000004,6,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0002_ACSR000004,7,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0002_ACSR000004,8,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0002_ACSR000004,9,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000001,1,0.000322687,7.516292e-05,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000001,2,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000001,3,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000001,4,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000001,5,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000001,6,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000001,7,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000001,8,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000001,9,1.37081215e-05,1.37081215e-05,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000002,1,0.00024302684,6.237767e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,2,0.00013424971,0.8329871,1,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,3,0.0012298542,6.287756e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,4,1.7763365e-05,1.7763365e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,5,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,6,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,7,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,8,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000002,9,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,1,5.7947316e-05,0.00013660394,1,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,2,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,3,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,4,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,5,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,6,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,7,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,8,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000003,9,1.37081215e-05,1.37081215e-05,0,1
2025-09-20 14:39:00,SH001N0003_ACSR000004,1,0.00027520492,3.7138914e-05,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000004,2,0.00074197707,2.6934275e-05,0,0
2025-09-20 14:39:00,SH001N0003_ACSR000004,3,0.00021084394,1.8451661e-05,0,0
