TOT_DT,LINK_ID,LANE_NO,Thresholds,recon_error,anomaly,link_anomaly,true_anomaly,is_correct
2025-09-20 14:38:00,SH001N0001_ACSR000003,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0001_ACSR000003,8,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0001_ACSR000003,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0001_ACSR000003,9,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000001,1,0.0004046254,2.1430344e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000001,1,0.0004046254,2.1430344e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000001,2,0.0008897666,7.720476e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000001,2,0.0008897666,3.304707e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000001,3,9.26695e-05,3.8158e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000001,3,9.26695e-05,5.759593e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000001,4,0.00020518323,4.671204e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000001,4,0.00020518323,8.507693e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000001,5,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000001,5,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000001,6,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:39:00,SH001N0002_ACSR000001,6,1.37081215e-05,1.37081215e-05,0,0,0,1
2025-09-20 14:38:00,SH001N0002_ACSR000001,7,1.37081215e-05,1.37081215e-05,0,0,0,1
