TOT_DT,LINK_ID,LANE_NO,TRF_QNTY,AVG_SPD,OCPN_RATE
2024-11-29 00:05:00,2240010000,4,5.0,97.65,0.175
2024-11-29 00:05:00,2240013000,4,2.0,100.5,0.112
2024-11-29 00:05:00,2240013000,3,9.0,97.6,0.556
2024-11-29 00:05:00,2240013000,2,12.0,102.2,0.708
2024-11-29 00:05:00,2240013000,1,4.0,103.3,0.218
2024-11-29 00:05:00,2240014101,2,20.0,86.6,1.39
2024-11-29 00:05:00,2240012900,3,19.0,83.7,1.382
2024-11-29 00:05:00,2240012900,2,18.0,86.4,1.238
2024-11-29 00:05:00,2240012900,1,4.0,102.9,0.228
2024-11-29 00:05:00,2240010000,5,3.0,95.5,0.238
2024-11-29 00:05:00,2240012900,4,2.0,102.9,0.112
2024-11-29 00:10:00,2240014101,4,11.0,83.4,0.804
2024-11-29 00:10:00,2240014201,1,7.0,97.9,0.444
2024-11-29 00:10:00,2240014201,2,17.0,85.0,1.234
2024-11-29 00:10:00,2240014201,3,30.0,92.8,1.966
2024-11-29 00:10:00,2240014201,4,23.0,97.8,1.53
2024-11-29 00:10:00,2240157100,1,0.0,0.0,0.0
2024-11-29 00:10:00,2240157100,2,17.0,86.7,1.346
2024-11-29 00:10:00,2240157100,3,1.0,98.5,0.094
2024-11-29 00:10:00,2240157300,1,3.0,98.0,0.225
2024-11-29 00:10:00,2240157300,2,32.0,81.95,1.565
2024-11-29 00:10:00,2240157300,3,4.0,96.25,0.367
2024-11-29 00:10:00,2240157400,2,15.0,77.2,1.784
2024-11-29 00:10:00,2240157400,3,3.0,94.0,0.64
2024-11-29 00:10:00,2240157900,1,18.0,93.2,0.658
2024-11-29 00:10:00,2240160900,3,11.0,89.45,0.863
2024-11-29 00:10:00,2240157900,3,6.0,97.47,0.2827
2024-11-29 00:10:00,2240160800,1,5.0,96.65,0.423
2024-11-29 00:10:00,2240160800,2,30.0,88.65,2.285
2024-11-29 00:10:00,2240160800,3,7.0,95.0,0.383
2024-11-29 00:10:00,2240160900,1,9.0,96.3,0.624
2024-11-29 00:10:00,2240160900,2,26.0,84.45,1.99
2024-11-29 00:10:00,2240014101,3,15.0,94.5,1.002
2024-11-29 00:10:00,2240157400,1,3.0,96.0,0.45
2024-11-29 00:10:00,2240157900,2,42.0,90.63,0.9667
2024-11-29 00:10:00,2240014101,2,19.0,86.5,1.31
2024-11-29 00:10:00,2240013000,4,6.0,91.9,0.45
2024-11-29 00:10:00,2240014101,1,5.0,97.8,0.312
2024-11-29 00:10:00,2240007900,1,2.0,97.1,0.14
2024-11-29 00:10:00,2240007900,2,10.0,90.4,0.698
2024-11-29 00:10:00,2240007900,3,13.0,87.8,0.94
2024-11-29 00:10:00,2240007900,4,13.0,91.6,0.886
2024-11-29 00:10:00,2240007900,5,9.0,91.4,0.62
2024-11-29 00:10:00,2240009900,2,14.0,89.2,0.956
2024-11-29 00:10:00,2240009900,3,10.0,102.0,0.64
2024-11-29 00:10:00,2240009900,4,0.0,0.0,0.0
2024-11-29 00:10:00,2240010000,1,7.0,100.45,0.209
2024-11-29 00:10:00,2240009900,1,5.0,102.9,0.286
2024-11-29 00:10:00,2240010000,3,28.0,92.45,0.954
2024-11-29 00:10:00,2240010000,2,24.0,92.7,0.797
2024-11-29 00:10:00,2240013000,2,14.0,95.0,0.896
2024-11-29 00:10:00,2240013000,1,5.0,103.8,0.278
2024-11-29 00:10:00,2240012900,4,0.0,0.0,0.0
