1,4
1,5
2,6
2,16
2,3
3,5
3,2
3,15
4,1
4,6
4,16
5,3
5,1
5,16
5,17
5,9
5,8
6,4
6,2
6,15
6,10
6,7
6,18
7,6
7,17
7,9
8,10
8,18
9,5
9,7
9,18
9,13
9,31
9,12
10,11
10,14
10,32
10,8
10,6
10,17
11,10
11,31
11,13
12,14
12,32
12,9
13,9
13,11
13,32
14,12
14,10
14,31
15,1
15,3
15,6
15,34
15,41
15,35
16,2
16,4
16,5
16,36
17,5
17,7
17,10
17,20
17,23
17,21
18,8
18,9
18,6
18,22
18,24
18,19
19,18
19,21
19,23
20,17
20,22
20,24
21,17
21,19
21,24
22,18
22,20
22,23
23,19
23,17
23,22
23,26
23,29
23,27
24,18
24,21
24,20
24,28
24,30
24,25
25,24
25,29
25,27
26,23
26,28
26,30
27,23
27,25
27,29
28,24
28,26
28,29
29,23
29,25
29,28
29,36
29,43
29,37
30,27
30,24
30,26
30,35
30,44
30,38
31,11
31,9
31,14
31,38
31,49
31,39
32,12
32,10
32,13
32,40
32,50
32,37
33,35
33,16
33,41
34,15
34,36
34,42
35,15
35,33
35,42
35,30
35,43
35,37
36,16
36,34
36,41
36,29
36,38
36,44
37,32
37,39
37,49
37,44
37,35
37,29
38,36
38,30
38,43
38,31
38,40
38,50
39,31
39,37
39,50
40,32
40,38
40,49
41,15
41,36
41,33
41,57
41,55
42,56
42,58
42,16
42,34
42,35
43,29
43,35
43,38
43,45
43,47
44,30
44,36
44,37
44,46
44,48
45,43
45,48
45,50
45,51
45,53
46,49
46,52
46,54
46,44
46,47
47,43
47,46
47,56
47,59
48,60
48,55
48,44
48,45
49,37
49,31
49,40
49,46
49,51
49,53
50,52
50,54
50,45
50,32
50,38
50,39
51,49
51,45
51,54
52,50
52,46
52,53
53,45
53,49
53,52
53,60
53,65
53,63
54,51
54,46
54,50
54,64
54,66
54,59
55,58
55,41
55,59
55,48
56,42
56,57
56,47
56,60
57,41
57,56
58,55
58,42
59,47
59,55
59,54
59,63
59,65
60,53
60,64
60,66
60,48
60,56
61,55
61,47
61,60
62,56
62,48
62,59
63,59
63,66
63,53
64,54
64,60
64,65
65,59
65,53
65,64
66,63
66,54
66,60
